owner_id,pin,year,raw_address,house,direction,street_name,street_type,address_key
161350300300002017,16135030030000,2017,1009 S WASHTENAW AVE,1009,S,WASHTENAW,AVE,1009 S WASHTENAW AVE
030230501600002023,03023050160000,2023,131 MAYER AVE,131,,MAYER,AVE,131 MAYER AVE
052021202600002001,05202120260000,2001,510 LINDEN ST,510,,LINDEN,ST,510 LINDEN ST
010110001700002021,01011000170000,2021,115 DUNDEE AVE,115,,DUNDEE,AVE,115 DUNDEE AVE
163211501000002024,16321150100000,2024,3200 S 61ST CT,3200,S,61ST,CT,3200 S 61ST CT
010110001700002022,01011000170000,2022,115 DUNDEE AVE,115,,DUNDEE,AVE,115 DUNDEE AVE
052021202600002002,05202120260000,2002,510 LINDEN ST,510,,LINDEN,ST,510 LINDEN ST
052021202600002003,05202120260000,2003,510 LINDEN ST,510,,LINDEN,ST,510 LINDEN ST
052021202600002004,05202120260000,2004,510 LINDEN ST,510,,LINDEN,ST,510 LINDEN ST
010110001700002023,01011000170000,2023,115 DUNDEE AVE,115,,DUNDEE,AVE,115 DUNDEE AVE
010110001700002024,01011000170000,2024,115 DUNDEE AVE,115,,DUNDEE,AVE,115 DUNDEE AVE
052021202600002005,05202120260000,2005,510 LINDEN ST,510,,LINDEN,ST,510 LINDEN ST
163212407500002024,16321240750000,2024,3320 S 61ST CT,3320,S,61ST,CT,3320 S 61ST CT
052021202600002006,05202120260000,2006,510 LINDEN ST,510,,LINDEN,ST,510 LINDEN ST
052021202600002007,05202120260000,2007,510 LINDEN ST,510,,LINDEN,ST,510 LINDEN ST
052021202600002008,05202120260000,2008,510 LINDEN ST,510,,LINDEN,ST,510 LINDEN ST
163220507100002024,16322050710000,2024,3248 S 59TH CT,3248,S,59TH,CT,3248 S 59TH CT
052021202600002009,05202120260000,2009,510 LINDEN ST,510,,LINDEN,ST,510 LINDEN ST
163220703300002024,16322070330000,2024,3324 S 58TH CT,3324,S,58TH,CT,3324 S 58TH CT
052021202600002010,05202120260000,2010,510 LINDEN ST,510,,LINDEN,ST,510 LINDEN ST
052021202600002011,05202120260000,2011,510 LINDEN ST,510,,LINDEN,ST,510 LINDEN ST
020910800600002021,02091080060000,2021,1211 DUNDEE RD,1211,,DUNDEE,RD,1211 DUNDEE RD
010110000200001999,01011000020000,1999,227 W MAIN ST,227,W,MAIN,ST,227 W MAIN ST
163221101100002024,16322110110000,2024,3314 S 56TH CT,3314,S,56TH,CT,3314 S 56TH CT
010110000200002000,01011000020000,2000,227 W MAIN ST,227,W,MAIN,ST,227 W MAIN ST
020910800600002022,02091080060000,2022,1211 DUNDEE RD,1211,,DUNDEE,RD,1211 DUNDEE RD
010110000200002001,01011000020000,2001,227 W MAIN ST,227,W,MAIN,ST,227 W MAIN ST
170530600400002024,17053060040000,2024,1170 N ELSTON AVE,1170,N,ELSTON,AVE,1170 N ELSTON AVE
052021202600002012,05202120260000,2012,510 LINDEN ST,510,,LINDEN,ST,510 LINDEN ST
021140600800002024,02114060080000,2024,933 N STARK DR,933,N,STARK,DR,933 N STARK DR
052021202600002013,05202120260000,2013,510 LINDEN ST,510,,LINDEN,ST,510 LINDEN ST
020910800600002023,02091080060000,2023,1211 DUNDEE RD,1211,,DUNDEE,RD,1211 DUNDEE RD
020910800600002024,02091080060000,2024,1211 DUNDEE RD,1211,,DUNDEE,RD,1211 DUNDEE RD
052021202600002014,05202120260000,2014,510 LINDEN ST,510,,LINDEN,ST,510 LINDEN ST
