pin,ward,community_area,census_tract,zip
19012170330000,12,58,17031580600,60632
19014060180000,15,58,17031580700,60632
17223140371001,3,33,17031330103,60616
17223140371048,3,33,17031330103,60616
17223140371079,3,33,17031330103,60616
11301100600000,,,,60202
17223140371086,3,33,17031330103,60616
17223140371097,3,33,17031330103,60616
17223140371100,3,33,17031330103,60616
17223140371161,3,33,17031330103,60616
17223140371162,3,33,17031330103,60616
17223140380000,3,33,17031330103,60616
17223150380000,3,33,17031330103,60616
17273090521005,3,35,17031839200,60616
17282110150000,11,34,17031841100,60616
17284280440000,11,34,17031340400,
17294090550000,11,60,17031600600,60608
17294130470000,11,60,17031840200,60608
17294140810000,11,60,17031840200,60608
17311200440000,12,59,17031840300,60608
17312160400000,12,59,17031840400,60608
17312240300000,11,59,17031840400,60609
17312300180000,11,59,17031840400,60608
17314220060000,12,59,17031590700,60609
20113270120000,5,,,60615
19014230340000,12,58,17031842800,60632
19024150090000,12,58,17031580400,60632
19033050250000,22,56,17031560100,60632
19034050320000,14,57,17031570200,60632
19034150140000,14,57,17031570200,60632
19045010050000,,,17031820800,
19055010010000,,,17031820800,
19073040740000,23,56,17031560900,60638
19073190410000,23,56,17031560900,60638
13332090080000,31,,17031191100,60639
19092020420000,22,56,17031560300,60638
19092120110000,22,56,17031560300,60638
19092200220000,22,56,17031560300,60638
19102080220000,14,57,17031570300,60632
19102280040000,14,57,17031570300,60632
19103240090000,23,62,17031620200,60632
19104060360000,23,57,17031570500,60632
19111070270000,14,57,17031570400,60632
18043180060000,,,17031819700,60525
13332300140000,31,,17031191100,60639
18051140110000,,,17031819801,60558
18052000140000,,,17031819700,60525
18053080400000,,,17031819801,60558
18062130170000,,,17031819801,60558
18063230010000,,,17031820000,60521
18072000450000,,,17031819900,60558
18072020210000,,,17031819900,60558
18073050080000,,,17031820000,60521
18074100220000,,,17031819802,60558
18091040240000,,,17031819600,60525
18091130150000,,,17031819600,60525
18091270050000,,,17031819700,60525
18094090050000,,,17031820103,60525
18133090470000,,,17031820400,60501
18162010110000,,,17031820103,60525
18173010230000,,,17031820101,60525
18173110230000,,,17031820101,60525
18181010160000,,,17031820101,60527
18182050100000,,,17031820101,60558
18184070660000,,,17031820101,60558
18201000791005,,,17031820101,60525
18201000791038,,,17031820101,60525
18201000791077,,,17031820101,60525
18201000811017,,,17031820101,60525
19122070240000,15,58,17031842800,60632
19123210210000,14,63,17031630400,60632
19124210280000,14,63,17031630500,60632
11301130150000,,,,60202
