pin,address,housenumber,streetname,city,state,zip,units_res,land_class,building_class,owner_id,lat,lng
31231010250000,,,,,,60461,,209,209,,41.51033986448766,-87.70372644961962
31233060300000,,,,,,60443,,203,203,,41.50020642419899,-87.70833776139386
13032020110000,,,,,,60646,,203,203,,41.996568041159684,-87.73706239874586
31242060060000,,,,,,60461,,278,278,,41.50974017722131,-87.67639807458652
31243030080000,,,,,,60466,,203,203,,41.50495162213703,-87.68917771386702
31243100150000,,,,,,60466,,278,278,,41.50133889087016,-87.68762253451895
31244380080000,,,,,,60466,,234,234,,41.501099000899025,-87.67689354282534
31253000010000,,,,,,60466,,597,597,,41.49141073102081,-87.69111695781085
31333140300000,,,,,,60471,,295,295,,41.474450123585775,-87.74869736497526
31341020220000,,,,,,60471,,234,234,,41.47995747924584,-87.73035042837012
31341050310000,,,,,,60471,,234,234,,41.47695042761621,-87.72694320005014
31351060450000,,,,,,60471,,203,203,,41.48230533512034,-87.70599992473629
31353200140000,,,,,,60471,,234,234,,41.47285539388724,-87.70402607335481
31354150010000,,,,,,60466,,202,202,,41.47696358274551,-87.69661258355018
31354150280000,,,,,,60466,,203,203,,41.47585536523761,-87.69596474368862
31363130070000,,,,,,60466,,207,207,,41.47395838565758,-87.69310490402489
25202150370000,,,,,,60643,,203,203,,41.68830905268111,-87.64868459831399
31364070310000,,,,,,60466,,202,202,,41.473362798794085,-87.6811662710499
32033310110000,,,,,,60425,,202,202,,41.54781513031792,-87.60815703155939
32033361530000,,,,,,60425,,EX,EX,,41.5487631011379,-87.61163726361971
19172150300000,,,,,,60638,,593,593,,41.78980657697197,-87.76254110652818
19172210170000,,,,,,60638,,203,203,,41.78755022074654,-87.76540986743595
19181300740000,,,,,,60638,,203,203,,41.7850388558393,-87.79340545648466
19202090340000,,,,,,60638,,202,202,,41.775479517290876,-87.76734226291045
19202090370000,,,,,,60638,,204,204,,41.77548607953172,-87.76701236623244
19211110300000,,,,,,60638,,203,203,,41.77470530546135,-87.76022978136872
19212070070000,,,,,,60638,,590,590,,41.77812229511082,-87.74263153038139
25204010280000,,,,,,60643,,203,203,,41.68429861403741,-87.64977410159932
19222020260000,,,,,,60629,,202,202,,41.77796135461473,-87.7291941758321
19222030250000,,,,,,60629,,202,202,,41.77689960853551,-87.72846449487392
19224090610000,,,,,,60629,,202,202,,41.76786080362409,-87.73066420668722
19224110050000,,,,,,60629,,211,211,,41.76902240725341,-87.72825657240189
